name,img_url,type,thc_level,most_common_terpene,description,relaxed,happy,euphoric,uplifted,sleepy,dry_mouth,dry_eyes,dizzy,paranoid,anxious,stress,pain,depression,anxiety,insomnia,hungry,talkative,headache,ptsd,creative,energetic,fatigue,focused,giggly,lack_of_appetite,nausea,headaches,bipolar_disorder,cancer,tingly,cramps,aroused,gastrointestinal_disorder,inflammation,muscle_spasms,eye_pressure,migraines,asthma,anorexia,arthritis,add/adhd,muscular_dystrophy,hypertension,glaucoma,pms,seizures,spasticity,spinal_cord_injury,fibromyalgia,crohn's_disease,phantom_limb_pain,epilepsy,multiple_sclerosis,parkinson's,tourette's_syndrome,alzheimer's,hiv/aids,tinnitus
Dick Cheese,,Hybrid,17%,,"A powerful indica-dominant strain, Dick Cheese crosses Moby Dick with Big Buddha Cheese. Its aroma is spicy, musky, and loud, while the flavor is spicy and thick. This strain is noted for its heavy-hitting high that comes on quickly and lingers for hours. Give this indica a shot next time you’re ready to end your day and hit the couch.",0%,0%,0%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,50%,0%,0%,0%,0%,0%,50%,0%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Dopium,,Hybrid,,,"Dopium, a cross between ChemDawg and Sour Diesel, has a unique scent while keeping elements of that classic Sour Diesel smell. Described as delivering relaxing and mellow effects, Dopium has the sharp spice of diesel with floral hints.",42%,38%,57%,42%,0%,28%,23%,0%,14%,4%,52%,38%,47%,42%,0%,0%,33%,9%,0%,0%,0%,0%,0%,0%,0%,28%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Purple Sage ,,Hybrid,10%,,Purple Sage is a hybrid strain that provides a mental lift typical of its sativa heritage while still treating pain with an indica punch. The plants are a cross between an unknown purple mix and some SAGE genetics. Purple Sage also boasts a unique sweet and spicy aroma.,25%,0%,50%,25%,25%,37%,25%,0%,0%,0%,0%,50%,12%,25%,12%,0%,0%,0%,0%,37%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,12%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
West Coast Dawg,,Indica,22%,Myrcene,"West Coast Dawg is a thoroughbred West Coast local that harnesses the potency of Chemdawg while remaining indica-dominant in effect. The flavor and powerful onset howl Chemdawg, exhibiting flavors of fuel, chemicals, pine, and a floral undertone that speaks to its latent Kush genetics. The addition of USA Humboldt provides an enjoyable relaxation on the body that is amplified by Chemdawg’s inherent potency, leading to powerful sedation with continued use. Enjoy this strain near the end of the day, as it will gladly lock you to your couch while curbing stress and pain, stimulating appetite, and encouraging rest. ",66%,0%,66%,66%,66%,33%,0%,0%,0%,0%,33%,33%,0%,33%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,66%,0%,0%,0%,0%,0%,0%,33%,0%,0%,33%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Kelly Hill Gold,,Indica,,,"Cultivated by Joseph Arthur Botanicals in Colorado, Kelly Hill Gold is a 70/30 indica-dominant strain that crosses Acapulco Gold and Chemdawg 4. With buds that are large and full of orange pistils, this strain gives off strong earthy notes and the smell of burnt coffee. Averaging at 24.5% THC, its potent effects will send you into a relaxed and euphoric state that can help alleviate anxiety and stress.",60%,100%,60%,60%,0%,40%,40%,0%,0%,0%,40%,60%,0%,40%,0%,0%,60%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,40%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,40%,0%,0%,0%,0%,0%,0%,0%,0%
Skunky Diesel,,Hybrid,18%,,Skunky Diesel is a nice indica-dominant strain that is a cross of Sensi Skunk with NYC Diesel.  A nice relaxing high that you will feel in your face pretty quickly.  She definitely carries the diesel taste and lovely diesel effects.,27%,38%,0%,44%,0%,33%,11%,5%,5%,0%,27%,22%,16%,33%,11%,27%,33%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Blackberry Lime Haze,,Sativa,22%,Pinene,"Blackberry Lime Haze is a 90% sativa cross between Blackberry and Lime Haze that induces high-energy, clear-headed effects. Sweet lime and peppery spice overlay a subtle mix of honey, berry, and floral notes in a show of Blackberry Lime Haze’s rich terpene profile. Functional creativity coupled with a happy mood make this strain conducive to productive afternoons or an active weekend with friends. Blackberry Lime Haze is a potent medicine for a variety of ailments, some of which include depression, headaches, fibromyalgia, spinal cord injury, multiple sclerosis, fatigue, pain, and spasms. Despite its sativa-leaning genetics, Blackberry Lime Haze grows into dense, chunky buds with a heavy coat of crystal trichomes. Though similar to Blackberry Haze, this phenotype leans more toward its Lime Haze parent in appearance and aroma.",0%,69%,52%,60%,0%,0%,4%,0%,0%,0%,34%,34%,30%,21%,0%,0%,0%,4%,0%,0%,56%,30%,47%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Wagyu,,,16%,Terpinolene,"Wagyu is a marijuana strain. We’re still learning about the flavors and effects of Wagyu. If you’ve smoked, dabbed or consumed this strain before, tell us about your experience by leaving a review.",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Silver Nina,,Hybrid,17%,Myrcene,"Silver Nina by Colorado Seed Inc. is the stabilized cross of Silver Back and Nina Limone. Like Gupta Kush, Nina Limone appears in many CO Seed Inc. crosses due to its excellent flavor, aroma, and effects. This sweet, citrusy strain offers consumers a palpable stimulation without being overwhelming. The bright, powdery nuggets will also make this strain a tabletop show piece.",0%,100%,100%,0%,0%,100%,0%,0%,0%,0%,0%,100%,100%,0%,0%,0%,0%,0%,0%,100%,100%,0%,100%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,100%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Blue OG Sherbert,,Hybrid,14%,Caryophyllene,The Plug Seedbank crosses the potent Fire OG with Blue Sherbert to create Blue OG Sherbert. Blue OG Sherbert has strong effects and a flavorful terpene profile alongside beautiful dark and lime green buds. The spicy and earthy flavors come with blueberry undertones so try this strain out if you’re looking for something tasty and potent.,0%,0%,50%,50%,0%,0%,25%,0%,0%,0%,25%,0%,25%,0%,0%,0%,50%,0%,0%,50%,50%,25%,0%,0%,0%,25%,25%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Bango,,Hybrid,22%,Limonene,"Bango is a hybrid strain with a rich terpene profile and tropical flavors worth sharing. This hybrid is a combination of White Fire Alien OG and Mango Kush, exhibiting subtle hints of each on the nose and palate. With sweet, fruity flavors of mango, banana, and pine, and an aroma with sweet floral notes and citrus peel, Bango offers an enchanting bouquet that will linger in the air. Bango’s effects are equal parts cerebral and stimulating, and is certain to get you talking. This strain is preferred for mood elevation, appetite stimulation, and nullifying depression. ",100%,0%,0%,100%,66%,0%,0%,0%,0%,0%,0%,0%,33%,33%,33%,0%,0%,0%,0%,0%,0%,0%,100%,66%,33%,33%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Banana Peel,,Hybrid,19%,Caryophyllene,"Banana Peel is a hybrid cannabis strain bred by Illuminati Seeds that descends from Banana OG (Laffy Taffy cut) and Pestilence, an Abusive OG and West Coast Dawg cross. Together, these parent strains bring both flavor and potency to the mix. With sweet flavors of banana taffy, Banana Peel delivers a crushing wave of euphoria that will have you hitting the couch like bricks. ",72%,45%,54%,45%,18%,0%,0%,0%,0%,0%,18%,27%,18%,0%,0%,0%,0%,0%,0%,0%,0%,18%,0%,0%,0%,0%,9%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
IFC OG,,Indica,21%,Caryophyllene,"IFC OG by Intergalatikz is a frosty indica strain with pungent terpenes and pleasantly sedating effects. Created by crossing Stardust OG and OG Kush, IFC OG’s light green foliage and skunky, chemical-filled aroma speak to the strain’s lineage and relaxing body effects. Noted for having a THC content between 20-27%, IFC OG’s potent indica genetics make this strain an ideal companion for lazy days. ",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Exodus Kush,,Hybrid,16%,Terpinolene,DNA Genetics crossed Exodus Cheese (a.k.a. UK Cheese) with OG Kush to create Exodus Kush. Plants grow wide and dense with the structure of Exodus Cheese but pack the heavy-hitting high of OG Kush that tends to put people to bed. The taste profile starts off with a cheesy funk and finishes with a thick OG gas flavor. Exodus Cheese fits the bill for any Kush or Cheese lover looking for a new favorite.,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Sky Lotus,,Hybrid,23%,Limonene,"Sky Lotus by Bodhi Seeds is a delicious hybrid of Mazar x Blueberry OG (f.k.a. Skywalker OG) and Snow Lotus. This strain is a variant of Bodhi Seeds’ popular Goji OG, expressing a similar stocky plant structure. The aroma is a mixture of Pine-Sol, lemon, and sweet berries, while the flavor is more piney and floral. Sky Lotus has a 9-week flowering time, but these flowers are worth the wait. This plant develops an abundance of trichomes which leads to a potent, punchy buzz that soaks up stress and encourages equanimity.   ",50%,40%,50%,0%,30%,0%,10%,30%,10%,0%,30%,50%,30%,0%,40%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,60%,0%,0%,0%,0%,40%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Purple MAC,,,,,"Purple MAC is a marijuana strain. We’re still learning about the flavors and effects of Purple MAC. If you’ve smoked, dabbed or consumed this strain before, tell us about your experience by leaving a review.",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,25%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Fluffhead,,Hybrid,20%,Limonene,"Fluffhead is a hybrid marijuana strain. We're still learning about the flavors and effects of Fluffhead - if you've smoked this strain before, tell us about it by leaving a review.",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Boomtown,,,,,"Boomtown is a marijuana strain. We’re still learning about the flavors and effects of Boomtown. If you’ve smoked, dabbed or consumed this strain before, tell us about your experience by leaving a review.",50%,0%,50%,0%,0%,0%,0%,0%,0%,0%,50%,0%,0%,0%,0%,0%,0%,0%,0%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Black Velvet,,Hybrid,,,"This 50/50 hybrid strain is a cross of The Black and Burmese Kush that yields a potent flower with both cerebral and physical effects. The flower gets its density and purple-black hue from its Black indica parent but takes on a fruity, citrus aroma thanks to the Burmese sativa. With its high THC levels, Black Velvet is optimal for intermediate to experienced patients and is favored for its well-balanced effects.",42%,42%,31%,0%,42%,31%,42%,0%,0%,0%,47%,36%,26%,36%,0%,42%,0%,0%,0%,0%,0%,0%,0%,0%,0%,26%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Wonder Woman OG,,Indica,,,"Wonder Woman OG is a marijuana strain. We’re still learning about the flavors and effects of Wonder Woman OG. If you’ve smoked, dabbed or consumed this strain before, tell us about your experience by leaving a review.",37%,31%,59%,0%,34%,31%,25%,0%,9%,0%,46%,40%,0%,43%,28%,0%,0%,9%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,28%,0%,0%,12%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Kerala,,Sativa,,,"Bred by The Landrace Team, Kerala is a sativa landrace strain from the Idukki region of Southern India. Radiating with the smell of mint, menthol, musk, and spice, its buds bloom with lime green colors that contrast with purple stalks. Expect a powerful high that will leave you energized and ready for outdoor activities.",50%,0%,0%,0%,50%,0%,0%,0%,0%,0%,0%,0%,0%,50%,0%,50%,0%,0%,0%,100%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Berry Gelato,,,21%,Caryophyllene,"Berry Gelato is a marijuana strain. We’re still learning about the flavors and effects of Berry Gelato. If you’ve smoked, dabbed or consumed this strain before, tell us about your experience by leaving a review.",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Lion’s Milk,,Hybrid,21%,Caryophyllene,"Another milk strain from Bodhi Seeds, Lion’s Milk crosses Pure Kush and Appalachia, creating a potent bud worthy of its Lion namesake. Buds take on a purple hue and come frosted in trichomes. Lion’s Milk has sharp spicy and earthy notes and the high comes on easy, but when consumed in large amounts, it’ll send you to the stars.",100%,0%,100%,50%,0%,50%,50%,0%,0%,0%,0%,100%,100%,100%,0%,0%,50%,0%,0%,0%,0%,50%,0%,0%,0%,0%,0%,0%,0%,50%,0%,0%,0%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Bubba Hash,,Indica,14%,Pinene,"Bubba Hash by Ace Seeds is a stout indica-dominant cross of famous and familiar genetics. This strain’s spear-like colas and dense morphology make it ideal for indoor growers with limited space. A cross between Katsu Bubba and Hash Plant, this pungent strain offers consumers a unique bouquet of hash, coffee, and petrichor alongside notes of skunk and fuel. Bubba Hash has surprisingly clear mental effects while smoothing out anxiety, pain, and restlessness. ",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Marley's Collie,,Hybrid,,,"Marley's Collie is an indica-dominant hybrid bred by Sensi Seeds that won the Dutch High Life Cup in 1999. These sticky, spiky buds offer a pungent sweet aroma with musky Afghan undertones, delivering effects that are strong in both physical and cerebral sensation. Indoor and outdoor grows can expect flowers between 60 and 65 days.",83%,66%,0%,50%,0%,0%,0%,0%,0%,16%,33%,0%,16%,16%,16%,0%,0%,0%,0%,66%,0%,0%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,16%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Titan's Haze,,Sativa,22%,Myrcene,"Bred by Flying Dutchmen, Titan’s Haze is sativa cross of Haze and Skunk #1. This strain brings a powerful cerebral rush that sativa connoisseurs crave with the smell and flavor of herbal spice. It’s a go-to hybrid for creative minds looking for that stimulating and energizing buzz during daytime hours. These plants fare well in high humidity or dry climates and have proven resistant to pests and molds.",0%,100%,0%,50%,0%,50%,0%,0%,0%,0%,0%,50%,50%,50%,0%,0%,50%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,50%,0%,100%,0%,0%,0%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Total Paralysis,,Hybrid,,,"Heavyweight Seeds created Total Paralysis by crossing the potent Moby Dick with their very own Budzilla. The result is a strain that may lock your body down into the couch while your mind is shot into outer space. Buds give off a delicious flavor profile of berries and spices followed by an earthy aftertaste, making it a tasty choice for dabs. Smoke responsibly, as Total Paralysis is sure to wow even the more experienced smokers.",100%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,100%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Quad Dawg,,Hybrid,20%,Myrcene,"Bred by PhenoType Farmers, Quad Dawg is a cross between Chem 4 and White Dawg Fire OG. Reflective of its Chem 4 mother, Quad Dawg buds are light green and fluffy with the stinky gas aroma. Big flavorful smoke tastes of citrus, hops, and cinnamon. Quad Dawg encourages a potent high that reflects energized feelings.",50%,75%,75%,75%,0%,0%,0%,0%,0%,0%,25%,25%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
A La Mode,,Hybrid,,,"A tribute to their first two popular strains, À La Mode by Green Team Genetics is a cross of their Milkbone and Cookie Pebbles. Combining a creamy cookie aroma and a fruity cereal milk flavor, buds fade from black or rich purple in the last few weeks of flowering, making for some lip-smacking eye candy.",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Kiss,,Hybrid,16%,Myrcene,"Formally Queso, this wonderful hybrid was created in 2011 by Kannabia Seeds using Cheese and Afghani genetics. Kiss is a hybrid strain that provides powerful body effects and mood elevation. This potent flower is typically used to relieve pain, anxiety, and insomnia while offering a pugent cheese-like aroma. This aroma comes from the assumed cross of Northern Lights and Skunk, speaking to the 65/35 Indica-dominiant split described by Kannabia. Hailing from Spain, this savory international delight is a treat for anyone lucky enough to get their hands caked with the kiefy dust of this Europian native.",0%,0%,33%,0%,50%,33%,0%,0%,33%,16%,33%,33%,16%,0%,0%,50%,0%,0%,0%,33%,0%,33%,33%,0%,33%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Valley Vixen,,Hybrid,23%,Myrcene,"The famous San Fernando Valley OG Kush (SFV OG) is crossed with Do-Si-Dos in this project by Archive Seed Bank. Do-Si-Dos brings vigor, structure, and trichome production, allowing Valley Vixen to rise to new heights. Expect golf-ball-sized Kush-like nuggets that offer a nice smooth Kush flavor profile that will put your head in the clouds.",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Lumpy Space Princess,,,20%,Myrcene,"Lumpy Space Princess is a marijuana strain. We’re still learning about the flavors and effects of Lumpy Space Princess. If you’ve smoked, dabbed or consumed this strain before, tell us about your experience by leaving a review.",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Strawberry Durban Diesel,,Sativa,20%,Myrcene,"Loud Seeds recreated a hybrid they originally made years ago by crossing a Strawberry Cough x Durban Poison female with their Sour dominant Original Loud male. The result is Strawberry Durban Diesel, an 80% sativa-dominant plant that finishes flowering in 8-10 weeks and can produce THC levels up to 25%.",40%,40%,0%,80%,0%,0%,0%,0%,0%,0%,20%,0%,20%,40%,0%,0%,40%,0%,0%,0%,0%,0%,60%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,20%,0%,0%,0%,0%,0%,0%,0%,20%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Kaia Kush,,Hybrid,22%,,"Created by Apothecary Genetics, Kaia Kush is a 60% sativa cross between Super Silver Haze and OG Kush. This earthy, spicy hybrid is perfect for daytime consumption, with creative and relaxing effects that won’t impede your productivity. Kaia Kush’s full onset can be slow, but be patient while dosing: once effects kick in, they tend to stick around for a long time. Pain, appetite loss, depression, and fatigue are flushed away without that feeling of being overly medicated. This first place champion of the 2007 Amsterdam High Times Cannabis Cup is suitable for outdoor grows as well as indoor gardens, with a flowering time of 9 to 10 weeks.",78%,71%,35%,57%,0%,35%,28%,0%,0%,7%,35%,21%,28%,0%,0%,0%,0%,0%,0%,0%,0%,0%,42%,0%,35%,21%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Little Dragon,,Hybrid,,,"Little Dragon offers a more citrus-forward Kush experience, blending OG Kush, Colombian, and Thai genetics. While OG Kush anchors the physical effects with mid-level pain relief and a general heaviness in the limbs, the Central American and Southeast Asian genetics explode on the palate and offer complementary mental stimulation. Enjoy Little Dragon as a functional analgesic strain that shows off its flavorful exotic roots on the exhale.",75%,75%,0%,50%,0%,0%,12%,0%,0%,0%,50%,37%,37%,50%,0%,0%,37%,0%,0%,0%,0%,0%,50%,0%,0%,0%,37%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Blue Iguana,,Hybrid,16%,,"Blue Iguana by Mosca Seeds is a hybrid mashup of Mosca’s award-winning Double Dutch mother and Old Time Moonshine father. This medium-sized plant has a branchy morphology and can benefit from a slightly longer vegetative cycle, leading to large, healthy colas throughout. Its bud structure helped give this strain its name, with buds resembling a large, well-fed iguana. Blue Iguana emits skunky, tar, and earthy aromas that may be challenging on the nose, but exciting on the palate.    ",33%,50%,33%,50%,0%,33%,16%,0%,16%,16%,66%,0%,33%,33%,0%,0%,33%,0%,33%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,16%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Original Mandarin Cookies,,Hybrid,22%,Caryophyllene,"Bred by Ethos Genetics, Original Mandarin Cookies is a cross of Forum Cut Cookies and their own Mandarin Sunset. With Cookies, Orange Skunk, and Herojuana influences, this strain brings a terpene profile with notes of orange, grapefruit, and gas that’ll work you into a cozy state of bliss.",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Lemon Royale,,Hybrid,26%,Limonene,"Lemon Royale is a sativa-dominant hybrid marijuana strain made by crossing Lemon Tree with a cross of GMO and Triangle Kush. This strain produces energizing effects that leave consumers feeling euphoric, inspired, and free from clouded thoughts. Medical marijuana patients choose Lemon Royale to help relieve symptoms associated with depression and fatigue. This strain tastes like its namesake, with bold lemon flavors bursting through gassy undertones. Growers say Lemon Royale grows in dense, lumpy buds that almost appear white due to their heavy trichome coverage. This strain was originally bred by Swamp Boy Seeds. If you've smoked, dabbed or consumed Lemon Royale before, tell us about your experience by leaving a strain review.",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Copper Kush,,Indica,25%,Myrcene,"Copper Kush is an 80% indica cross between Frankenstein and Lemon OG Kush bred by Nine Point Growth Industries in Washington. With aromas of earthy pine and zesty lemon, Copper Kush delivers swift relaxation of both mind and body, and progresses into comfortable focus and introspection over time. Copper Kush is grown in a soil medium, and is available for purchase in Washington’s recreational cannabis stores.",100%,42%,71%,42%,0%,0%,0%,14%,0%,0%,0%,0%,14%,0%,14%,0%,0%,0%,0%,0%,0%,14%,0%,0%,0%,0%,14%,0%,0%,28%,14%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
