name,img_url,type,thc_level,most_common_terpene,description,relaxed,happy,euphoric,uplifted,sleepy,dry_mouth,dry_eyes,dizzy,paranoid,anxious,stress,pain,depression,anxiety,insomnia,hungry,talkative,headache,ptsd,creative,energetic,fatigue,focused,giggly,lack_of_appetite,nausea,headaches,bipolar_disorder,cancer,tingly,cramps,aroused,gastrointestinal_disorder,inflammation,muscle_spasms,eye_pressure,migraines,asthma,anorexia,arthritis,add/adhd,muscular_dystrophy,hypertension,glaucoma,pms,seizures,spasticity,spinal_cord_injury,fibromyalgia,crohn's_disease,phantom_limb_pain,epilepsy,multiple_sclerosis,parkinson's,tourette's_syndrome,alzheimer's,hiv/aids,tinnitus,cis-Nerolidol,trans-Nerolidol,trans-Nerolidol 1,trans-Nerolidol 2,trans-Ocimene,3-Carene,Camphene,Caryophyllene Oxide,Eucalyptol,Geraniol,Guaiol,Isopulegol,Linalool,Ocimene,Terpinolene,alpha-Bisabolol,alpha-Humulene,alpha-Pinene,alpha-Terpinene,beta-Caryophyllene,beta-Myrcene,beta-Ocimene,beta-Pinene,delta-Limonene,gamma-Terpinene,p-Cymene,delta-9 THC-A,delta-9 THC,delta-8 THC,THC-A,THCV,CBN,CBD-A,CBD,CBDV,CBDV-A,delta-9 CBG-A,delta-9 CBG,CBC,Moisture Content
Dark Star,,Indica,19%,Myrcene,"Dark Star’s effects are as spacey as its name suggests: a deep, relaxed sensation throughout the body accompanied by a heavy cerebral calm. Though celestial in its effects, the strain is more likely homage to the Grateful Dead’s song “Dark Star.” A cross between Purple Kush and Mazar-I-Sharif, this dark, almost bluish strain was first bred indoors by T.H. Seeds, and comes as a challenge to many growers with its slow, 10-week flowering period. Its sour-smelling buds are dense and compact, ornamented with crystals and copper hairs.",75%,45%,43%,0%,42%,25%,13%,4%,2%,2%,38%,42%,26%,28%,31%,24%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,0.016,0.005,0.003,0.003,0.001,0.034,0.0,0.021,0.09,0.303,0.0,0.013,0.258,0.009,0.043,0.707,,0.144,0.097,0.007,0.0,,2.6,0.0,22.16,0.0,0.0,0.07,0.0,0.0,0.0,1.72,0.15,0.03,
Kosher Dawg,,Hybrid,18%,Myrcene,"Bred by DNA genetics, Kosher Dawg, a.k.a. Hebrew National, is a cross of JJ’s Stardawg and DNA’s Kosher Kush. Celebrated for big yields, Kosher Dawg is a loud strain—expect an exceptional taste with gassy, piney, and earthy flavors that coat your senses as you exhale thick smoke. Kosher Dawg may put you in a sedated state of bliss for hours on end before putting you gently to bed.",40%,50%,50%,30%,0%,0%,0%,0%,10%,10%,0%,0%,20%,0%,20%,0%,0%,0%,0%,0%,0%,20%,50%,0%,20%,0%,0%,0%,0%,0%,0%,0%,0%,0%,20%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.007,0.0,0.082,0.038,0.0,0.274,0.235,,0.069,0.234,0.0,0.0,,1.15,0.0,24.42,0.0,0.0,,0.0,0.0,0.0,0.73,0.14,0.0,
Blue Frost,,Hybrid,17%,Myrcene,Blue Frost is a hybrid that balances the genetics of Blue Monster and Jack Frost to create a 60/40 indica-dominant cross. Breeder Goldenseed has developed this strain to produce dense buds that show a range of deep violet hues and produces a pungent mixture of aromas. The flavor is an interesting combination of sweet fruity notes with a sharp cheese-like undertone. This hybrid is sure to lift your mood and replace any stress you may have with smile on your face.,74%,63%,59%,58%,0%,30%,10%,4%,4%,3%,35%,33%,35%,28%,0%,0%,0%,0%,0%,0%,0%,20%,0%,0%,0%,0%,0%,0%,0%,28%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,0.0,0.009,0.007,0.0,0.0,0.0,0.0,0.063,0.0,0.0,0.038,0.109,0.33,0.0,0.31,0.857,,0.167,0.177,0.0,0.0,,0.65,0.0,23.4,0.0,0.0,0.06,0.0,0.0,0.0,1.09,0.11,0.0,
Harle-Tsu,,Hybrid,20%,Myrcene,"Harle-Tsu, bred by the Southern Humboldt Seed Collective, is a high-CBD hybrid cross between Harlequin and Sour Tsunami. With its high CBD content and virtually non-existent THC content, Harle-Tsu may bring relief to pain and inflammation without euphoria or intoxication. Harle-Tsu seeds have a 75% chance of expressing its high-CBD characteristics, and indoor plants will finish flowering in 8 weeks. ",63%,39%,19%,37%,0%,11%,5%,3%,0%,0%,36%,42%,23%,32%,0%,0%,0%,3%,0%,0%,0%,0%,30%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,27%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,0.0,0.003,0.019,0.0,0.002,0.014,0.0,0.002,0.002,0.016,0.009,0.056,0.13,0.0,0.116,0.182,,0.02,0.033,0.0,0.0,,0.27,0.0,0.21,0.02,0.02,7.68,3.32,0.19,0.46,0.11,0.06,0.17,
Candy Jack,,Sativa,19%,Terpinolene,"Candy Jack is a mostly sativa strain that provides a swift boost to your mood alongside a sweet, citrus aroma. The fragrant smell is inherited from its Skunk #1 parent, while creative and focused effects stem from the Jack Herer side of the family. While its complex terpene profile may impress even the most hardened connoisseur, patients typically appreciate Candy Jack’s ability to counter stress, depression, and appetite loss. With a few Cannabis Cup wins already under its belt, Candy Jack’s potency, flavor, and effects have won this sativa a sterling reputation in the cannabis world. ",0%,63%,50%,55%,0%,27%,18%,0%,9%,6%,36%,18%,33%,27%,0%,0%,0%,6%,0%,43%,49%,19%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.073,0.571,0.0,0.088,0.057,0.011,0.217,0.082,,0.079,0.097,0.0,0.0,,0.86,0.0,22.36,0.0,0.0,0.07,0.0,0.0,0.0,1.12,0.16,0.0,
Purple Afghani,,Indica,18%,Limonene,A strong plant that is easy to grow. This Afghani is a mostly Indica inbred to produce thick and heavy buds. This variety has dark green leaves and calyxes that turn purple at flowering. Medium-high leaf to flower ratio with a subtle aroma and a very good high.,50%,38%,27%,24%,45%,25%,14%,5%,5%,4%,30%,21%,22%,35%,27%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,0.0,0.012,0.01,0.0,0.0,0.0,0.0,0.076,0.0,0.008,0.058,0.059,0.037,0.0,0.171,0.241,,0.064,0.45,0.0,0.0,,0.25,0.01,23.95,0.01,0.0,0.07,0.0,0.0,0.02,1.13,0.09,0.0,
Space Candy,,Hybrid,18%,Caryophyllene,"Space Candy originally comes from Heroes of the Farm, who bred this hybrid strain by crossing Cherry Space Queen and Cotton Candy. The genetic combination is as decadent as it sounds, as Space Candy inherits a unique flavor profile of candied apples and sweet cherry, counterbalanced by more tame earthy notes. Its effects may take some time to taper in, but once they do, expect to experience the mind-body balance of invigorating euphoria and deep physical relaxation.",50%,62%,43%,44%,0%,10%,4%,1%,1%,4%,27%,14%,20%,18%,0%,0%,0%,0%,0%,30%,0%,11%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,0.0,0.017,0.008,0.0,0.0,0.07,0.0,0.078,0.09,0.019,0.0,0.134,0.062,0.0,0.483,0.088,,0.083,0.574,0.0,0.0,,0.81,0.0,22.18,0.0,0.0,0.03,0.0,0.0,0.0,0.36,0.1,0.0,
Mr. Clean,,Sativa,20%,Terpinolene,"Mr. Clean is a sativa-dominant marijuana strain made by crossing Lime Skunk and The Cube. Mr. Clean has an intense aroma of limes and sweet, tart candies. Mr. Clean gets its name because this strain is known to have the ability to ""clean out"" bad moods, which makes Mr. Clean the perfect strain for lifting your spirits. Mr. Clean will make you feel slightly tingly but coherent enough to get things on your to-do list marked off. Medical Marijuana patients choose Mr. Clean to help with chronic stress and fatigue. Mr. Clean buds are a mix of light and dark green with orange hairs and a hint of frostiness.",100%,100%,0%,100%,0%,33%,33%,0%,33%,0%,66%,0%,66%,33%,33%,0%,100%,0%,0%,0%,0%,0%,0%,0%,33%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,0.0,0.011,0.011,0.0,0.0,0.001,0.001,0.065,0.001,0.006,0.019,0.059,0.043,0.0,0.168,0.166,,0.08,0.485,0.0,0.0,,0.16,0.0,17.53,0.0,0.0,0.04,0.0,0.0,0.0,0.49,0.11,0.0,
Willie Nelson,,Sativa,16%,Terpinolene,"Willie Nelson is a mostly sativa cannabis strain that is lauded for its euphoric, creative effects. The plants are sativa in their growing characteristics and should flower between 10 and 14 weeks. Flowers will be large but somewhat dense. Winner of the 2005 High Times Cannabis Cup in the sativa category, Willie Nelson has a fan base to rival its namesake’s. Consumers love that this strain leaves them clear-headed, allowing them to perform artistic or social activities.",0%,57%,57%,67%,0%,27%,16%,0%,6%,3%,45%,23%,36%,25%,0%,0%,0%,4%,0%,53%,36%,12%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.023,0.131,0.534,0.0,0.028,0.036,0.0,0.094,0.441,,0.066,0.167,0.0,0.0,,0.95,0.0,16.64,0.0,0.0,0.02,0.0,0.0,0.0,1.0,0.04,0.0,
Skunkberry,,Hybrid,19%,Myrcene,"Skunkberry is the odoriferous hybrid cross of parent strains Skunk and Blueberry. While the genetic makeup of this strain might seem commonplace, the unique terpenes specific to each of these fine cannabis varieties (and their robust and varied lineages) contribute to the complexity of this strain's effects. While the onset of the buzz is uplifting and euphoric, the strain simultaneously melts physical pain away without being overwhelmingly sedative.",69%,62%,54%,42%,0%,20%,13%,1%,3%,0%,28%,28%,27%,28%,0%,0%,23%,0%,0%,0%,0%,0%,0%,0%,16%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034,0.074,0.0,0.032,0.085,0.262,0.0,0.296,0.394,,0.153,0.377,0.0,0.0,,0.65,0.0,18.53,0.0,0.0,0.02,0.0,0.0,0.0,0.55,0.06,0.02,
Captain America OG,,Hybrid,,,"Captain America OG is a sativa-leaning OG cut with uplifting euphoria and a bright citrus flavor. Relieving anxiety without the debilitating weight of heavier OG crosses, call on “The Captain” for relief of stress as well as nausea, mild physical pain, and muscle spasms. This strain’s moderate body effects and complementary euphoria make it ideal for use any time of the day with mindful dosage.  ",90%,70%,90%,70%,0%,50%,20%,0%,10%,20%,30%,20%,40%,30%,0%,0%,0%,0%,0%,60%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,20%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,0.0,0.014,0.01,0.0,0.011,0.0,0.0,0.216,0.0,0.019,0.027,0.099,0.051,0.0,0.322,0.559,,0.105,0.575,0.0,0.0,,1.12,0.0,21.82,0.0,0.0,0.03,0.0,0.0,0.0,0.63,0.11,0.02,
Han Solo Burger,,Hybrid,27%,Terpinolene,"Home of the Burger genetics, Skunk House Genetics bred Han Solo Burger by crossing GMO Cookies and Larry OG. Offering a savory, funky, and spicy terpene profile, this strain not only tastes delicious but also looks beautiful with green and purple hues alongside gigantic stinky trichomes. Its potent high will tame any inability to relax. ",66%,33%,44%,22%,33%,11%,22%,0%,0%,0%,0%,33%,0%,33%,22%,0%,0%,0%,22%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,11%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,0.0,0.0,0.026,0.0,0.0,0.0,0.0,0.073,0.0,0.0,0.131,0.253,0.048,0.0,0.611,0.162,,0.094,0.703,0.0,0.0,,0.39,0.0,25.27,0.0,0.0,0.04,0.0,0.0,0.0,0.71,0.09,0.0,
Jack Haze,,Hybrid,14%,Terpinolene,"A cross between Jack Herer and Super Silver Haze, this is one giggly hybrid. Sativa-dominant, Jack Haze provides patients with an intense psychoactive sensation. Like drinking a strong cup of coffee, this strain’s energizing and uplifting effects make it great for daytime use. Patients who suffer from depression or stress tend to really enjoy this strain. Jack Haze is quite potent, so it should be used with caution by novice patients.",0%,55%,45%,62%,0%,22%,12%,12%,17%,10%,35%,12%,32%,30%,0%,0%,40%,0%,0%,0%,52%,27%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.066,0.685,0.0,0.076,0.035,0.022,0.227,0.069,,0.057,0.068,0.01,0.0,,1.38,0.0,14.87,0.0,0.0,0.05,0.0,0.0,0.0,0.28,0.09,0.01,
Black Lime,,Indica,16%,Myrcene,"From Aficionado Seeds comes Black Lime Special Reserve, an indica strain that descends from Woodman Canyon Oil Can, Lime Afghani, Northern Lights, Purple Kush, and Chemdawg Special Reserve. Flavors of pine, lemon, and black pepper are ushered in alongside uplifting euphoria, leaving you feeling tingly and relaxed.",70%,45%,58%,34%,29%,17%,12%,0%,1%,1%,35%,18%,25%,24%,16%,0%,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,0.0,0.01,0.024,0.0,0.0,0.0,0.0,0.077,0.0,0.005,0.106,0.324,0.046,0.0,0.785,0.551,,0.072,0.499,0.0,0.0,,0.73,0.0,22.2,0.03,0.0,0.11,0.0,0.0,0.0,0.56,0.07,0.0,
Pie Face,,Hybrid,18%,Myrcene,"Pie Face OG is what you get when you cross Cherry Pie with Face Off OG, a creation from Archive Seed Bank. This 60/40 indica-dominant strain carries a sweet cherry and earthy hash flavor, taking after both sides of the family. Though potently euphoric, Pie Face OG’s effects leave enough mental clarity for you to stay functional and engaged throughout the day’s tasks. This hybrid is ideal for social afternoons, unwinding after a stressful day, or kick-starting the appetite.",50%,50%,50%,43%,0%,20%,7%,7%,0%,1%,30%,21%,32%,23%,0%,0%,0%,1%,18%,0%,0%,0%,0%,32%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,0.0,0.006,0.006,0.0,0.001,0.0,0.0,0.149,0.0,0.005,0.029,0.098,0.023,0.0,0.333,0.074,,0.042,0.21,0.0,0.0,,1.41,0.0,17.76,0.0,0.05,0.04,0.0,0.0,0.0,0.44,0.19,0.0,
Lucid Blue,,Sativa,16%,Pinene,"Lucid Blue is a supremely potent sativa that will bring your thoughts to a new level of consciousness. Creative people love this strain, as it provides a powerful experience without severely diminishing your faculties. A cross of Grateful Breath and Blue Dream, this strain gives you the classic blueberry and pepper flavor profile of Blue Dream. Lucid Blue is designed for someone with a heavy tolerance looking for a profound experience. Like many Haze strains, Lucid Blue is going to create a fierce case of the munchies and provide a lot of energy and euphoria. The rush of euphoria may cause anxiety in new consumers or those who experience anxiety from cannabis. Consider this Blue Dream on steroids. ",12%,12%,0%,12%,0%,12%,0%,0%,0%,0%,25%,0%,25%,25%,12%,0%,0%,0%,0%,0%,25%,25%,37%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,0.0,0.009,0.008,0.001,0.0,0.006,0.0,0.056,0.001,0.003,0.1,0.049,0.476,0.0,0.178,0.222,,0.206,0.117,0.0,0.0,,0.35,0.0,16.84,0.0,0.0,0.05,0.0,0.0,0.0,0.49,0.05,0.0,
Jungle Juice,,Hybrid,11%,Limonene,"Bred by Golden State Genetics, Jungle Juice is a hybrid strain that crosses Animal Cookies and their in-house Tangie male. Balancing sweet and sour citrus flavors, this strain offers a flavorful release from stress, sleeplessness, and pain.",45%,45%,0%,27%,45%,45%,36%,0%,9%,0%,45%,0%,27%,36%,27%,0%,0%,0%,0%,0%,45%,0%,0%,0%,0%,0%,27%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,0.0,0.0,0.114,0.007,0.0,0.099,0.008,0.105,0.0,0.0,0.355,0.383,0.008,0.0,1.084,0.012,,0.0,0.0,0.0,0.0,,2.31,0.09,72.93,0.07,0.0,0.23,0.0,0.0,0.0,2.09,0.2,0.1,
Nitro Cookies,,Hybrid,18%,Caryophyllene,"Nitro Cookies is a hybrid marijuana strain made by crossing Gas Mask and Animal Cookies. This pungent strain is known to provide uplifting and relaxing effects. Nitro Cookies features gassy and earthy flavors with just a hint of sweetness. This strain produces frosty nugs that are dense, dark green, and purple. Medical marijuana patients choose this strain to help relieve symptoms associated with anxiety and depression. Nitro Cookies has a flowering time of 8 weeks.",50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,50%,0%,50%,0%,0%,0%,0%,0%,0%,0%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,0.0,0.01,0.019,0.0,0.0,0.0,0.004,0.1,0.0,0.011,0.096,0.298,0.037,0.0,0.746,0.318,,0.063,0.416,0.0,0.0,,0.42,0.0,20.36,0.0,0.0,0.04,0.0,0.0,0.0,1.5,0.02,0.0,
Dirty Girl,,Sativa,19%,Limonene,"Dirty Girl is a sativa-dominant cross of a Trainwreck hybrid, known as Arcata Lemon Wreck, and Cinderella 99. The combination produces a tropical aroma of pineapples and citrus fruit with a sharp pungent note reminiscent of Pine-Sol. The flavor of Dirty Girl is like sweet lemon candy and the effects it produces are happy and creative. Dirty Girl will elevate your mood and may help avoid the complications of depression, anxiety, and migraine headaches.",44%,55%,38%,43%,0%,21%,8%,4%,7%,7%,33%,16%,31%,25%,0%,0%,0%,0%,0%,39%,0%,13%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,0.0,0.005,0.007,0.0,0.0,0.067,0.0,0.028,0.0,0.0,0.003,0.037,0.133,0.0,0.14,0.773,,0.083,0.097,0.0,0.0,,0.75,0.0,16.25,0.05,0.0,0.05,0.0,0.0,0.02,0.6,0.08,0.0,
Purple Passion,,Indica,19%,Myrcene,"Purple Passion is great for unleashing your creative side. Mild for an indica, this strain produces an intermediate body-heavy sensation. While Purple Passion is mostly indica, its sativa genetics create a well-balanced strain that is inspiring and introspective while still providing the physical calming sensation indicas are famous for. Gently relaxing rather than overwhelming, this strain is great for those looking for a little relief from stress and anxiety. Purple Passion’s taste is harsh but pleasant and smells like fruity candy. This strain typically matures in around 9 weeks and produces large, dense buds.",49%,50%,45%,35%,56%,35%,16%,1%,0%,1%,41%,26%,20%,30%,33%,0%,0%,9%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,0.0,0.011,0.003,0.0,0.0,0.0,0.0,0.071,0.067,0.009,0.0,0.052,0.126,0.0,0.184,0.039,,0.096,0.376,0.0,0.0,,0.79,0.0,13.35,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.04,0.0,
Blue Haze,,Hybrid,18%,Myrcene,"Daughter of a Blueberry indica and the original Haze, this slightly sativa-dominant hybrid is a versatile strain. It has a pleasing taste and scent, and its furry dense buds produce full-bodied effects. Blue Haze is a great candidate for the regular consumer’s arsenal as it is appropriate for a broad spectrum of activities and provides the optimal balance between cerebral and physical effects.",52%,63%,47%,56%,0%,24%,18%,6%,6%,4%,41%,26%,25%,25%,0%,0%,0%,0%,0%,36%,0%,0%,0%,0%,0%,0%,15%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,0.0,0.009,0.022,0.004,0.002,0.0,0.0,0.04,0.0,0.003,0.074,0.116,0.483,0.0,0.319,1.056,,0.174,0.1,0.0,0.0,,10.15,0.0,8.48,0.0,0.2,0.0,0.0,0.0,0.0,0.07,0.03,0.11,
Butter OG,,Indica,19%,Myrcene,"While there is not much information available on the origins of Butter OG, it is generally thought to be an indica-dominant strain as it gives consumers a very relaxing, giggly high that gradually fades to sleepiness. Its dense, sparkly buds give off a fruity scent with slight undertones of ammonia. The smoke is very light and smooth, with sweet flavors on the inhale and, like its name suggests, a buttery aftertaste. Butter OG is potentially beneficial for treating pain, anxiety, depression, and insomnia.",87%,50%,0%,0%,58%,12%,16%,16%,0%,0%,25%,37%,20%,25%,37%,41%,0%,0%,0%,0%,0%,0%,0%,29%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,0.0,0.017,0.008,0.0,0.014,0.003,0.0,0.153,0.001,0.015,0.044,0.112,0.066,0.0,0.358,0.717,,0.124,0.534,0.0,0.0,,0.52,0.0,23.47,0.0,0.0,0.05,0.0,0.0,0.0,0.6,0.12,0.0,
Game Changer,,Hybrid,17%,Pinene,"Game Changer is a hybrid marijuana strain made by crossing Purple Dragon with Green Thai. Game Changer produces euphoric effects and is an ideal strain for those new to cannabis. This strain features a loud aroma of tropical fruit, grape and floral undertones. Growers say Game Changer has twisting hues of vibrant green and deep purple. Medical marijuana patients choose this strain to help relieve symptoms associated with anxiety, depression and chronic pain.",72%,56%,47%,57%,0%,21%,8%,6%,5%,4%,34%,26%,30%,27%,0%,0%,0%,0%,0%,31%,0%,0%,0%,0%,0%,0%,17%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,0.0,0.005,0.043,0.0,0.0,0.0,0.0,0.027,0.0,0.0,0.204,0.786,0.032,0.0,2.044,1.684,,0.074,0.312,0.0,0.0,,4.01,0.0,69.64,0.0,0.0,0.16,0.0,0.0,0.0,4.63,0.62,0.15,
Grape Cookies,,Indica,18%,Caryophyllene,"Grape Cookies by Pisces Genetics is the rich indica-dominant cross between Forum Girl Scout Cookies and Grape Kush. With strong OG elements on one side, complex floral terpenes on the other, and flavors of sweet berry and grape throughout, this strain is a knockout. The frosted buds exhibit hints of lavender, rose, grape, that morph into subtle fuel and red wine on the exhale. ",84%,36%,36%,42%,42%,15%,10%,5%,5%,0%,31%,31%,21%,0%,36%,0%,0%,0%,0%,0%,0%,0%,0%,0%,15%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,0.0,0.012,0.027,0.002,0.002,0.0,0.0,0.285,0.001,0.009,0.063,0.258,0.045,0.0,0.682,0.226,,0.085,0.572,0.0,0.0,,0.99,0.0,21.47,0.0,0.0,0.07,0.0,0.0,0.0,1.22,0.06,0.0,
Critical Jack,,Hybrid,16%,Terpinolene,"Critical Jack, a hybrid cross between Critical Plus and Jack Herer, delivers functional cerebral effects with a flavorful blend of lemon, pine, and floral aromas. Its effects are light on the body and stimulating to the mind, allowing one to fixate their attention strongly on whatever task is at hand. Uplifting qualities make Critical Jack a popular daytime remedy for depression, appetite loss, and headaches. Critical Jack’s harvest falls between late September and early October outdoors, while indoor gardens will finish around day 60 of flowering.",50%,61%,0%,59%,0%,18%,12%,3%,0%,4%,28%,0%,26%,12%,0%,0%,0%,3%,0%,0%,47%,17%,51%,0%,14%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,0.029,0.0,0.0,0.005,0.0,0.0,0.0,0.032,0.195,0.717,0.041,0.121,0.077,0.02,0.337,0.124,,0.11,0.136,0.008,0.0,,0.63,0.0,22.3,0.0,0.0,0.1,0.0,0.0,0.03,1.76,0.17,0.0,
Green Dream,,Hybrid,18%,Pinene,Green Dream is a sativa-dominant hybrid cross of Green Crack and Blue Dream.  ,0%,59%,52%,52%,0%,26%,12%,8%,6%,0%,39%,20%,26%,35%,0%,0%,0%,3%,0%,44%,36%,0%,0%,0%,0%,10%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,0.0,0.0,0.0,0.0,0.0,0.019,0.0,0.03,0.0,0.0,0.0,0.0,0.224,0.0,0.059,0.119,,0.098,0.043,0.0,0.0,,0.52,0.0,16.89,0.0,0.0,0.02,0.0,0.0,0.0,0.42,0.12,0.0,
